"id_region";"region"
2012;"Ки-Уэст/США в.ч.1/"
2011;"Науру/о.Науру/"
2010;"Шуик (Каролин.о-ва)/Тихоок.вл.США/"
2009;"Торскен/Норвегия с.ч./"
2008;"Саморой/Норвегия с.ч./"
2007;"Везермюнде/ФРГ/"
2006;"Маджуро (Маршал.о-ва)/Тихоок.вл.США/"
2005;"Порт-Альма/Австралия/"
2004;"Таунсвилл/Австралия/"
2003;"Косичанг/Таиланд/"
2002;"Масей/Норвегия с.ч./"
2001;"Рауфархофн/Исландия/"
2000;"Хусавик/Исландия/"
1999;"Нантонг/Китай (КНР)/"
1998;"Гамвик/Норвегия с.ч./"
1997;"Лекнес/Норвегия с.ч./"
1996;"Бей-Робертс/Канада в.ч.1/"
1995;"Исигаки/Япония в.ч.1/"
1994;"Нанкин/Китай (КНР)/"
1993;"Такома/США з.ч./"
1992;"Вестманхавн (Фар.о-ва)/Дания/"
1991;"Кендари/Индонезия/"
1990;"Пенсакола/США в.ч.1/"
1989;"Норфолк/США в.ч.1/"
1988;"Травемюнде/ФРГ/"
1987;"Нанаймо/Канада з.ч./"
1986;"Имбитуба/Бразилия/"
1985;"Камейвер/Норвегия с.ч./"
1984;"Мале/Норвегия ю.ч./"
1983;"Саутенд-он-Си/Великобритания в.ч./"
1982;"Харлинген/Нидерланды/"
1981;"Сеньяхопен/Норвегия с.ч/"
1980;"Марианхамина (Мариехамн)"
1979;"Оксфьорд/Норвегия с.ч./"
1978;"Чатем/Великобритания в.ч./"
1977;"Ситра/Бахрейн/"
1976;"Бугенесет/Норвегия ю.ч./"
1975;"Тоурсхебн/Исландия/"
1974;"Анденес/Норвегия с.ч./"
1973;"Джексонвилл/США в.ч.1/"
1972;"Доха"
2612;"З.Беринг.зап.ч (СЗТО)"
1970;"Скрабстер/Великобритания в.ч./"
1969;"Исикари-Шинга/Япония з.ч./"
1968;"Дженерал Сантос/Филиппины/"
1967;"Бьерефьорд/Норвегия ю.ч./"
1966;"Гравеншон/Франция/"
1965;"Кунгсхамн/Швеция ю.ч./"
1964;"Болла/Норвегия с.ч./"
1963;"Квалсунд/Норвегия с.ч./"
1962;"Мюре/Норвегия с.ч./"
1961;"Кристоффервален/Норвегия с.ч./"
1960;"Хельнесунн/Норвегия с.ч./"
1959;"Кристиансанн/Норвегия ю.ч./"
1958;"Есвер/Норвегия с.ч./"
1957;"Трук/Тихоок.вл.США/"
1956;"Скроба/Норвегия с.ч./"
1955;"Сюккюльвен/Норвегия ю.ч./"
1954;"Понсе (П-то Рико о.)/США в.ч.1/"
1953;"Нурвоген/Норвегия ю.ч./"
1952;"Мидвог (Фар.о-ва)/Дания/"
1951;"Мехами/Норвегия с.ч./"
1950;"Лаукслетта/Норвегия с.ч./"
1949;"Гуам/Тихоок.вл.США/"
1948;"Ванвог/Норвегия с.ч./"
1947;"Викан/Норвегия ю.ч./"
1946;"Чжоушань/Китай (КНР)/"
1945;"Ла-Гулет/Тунис/"
1944;"Сан-Хосе/Коста-Рика/"
1943;"Сика/Индия/"
1942;"Шит-Харбор/Канада в.ч.1/"
1941;"Лонг-Понд/Канада в.ч.1/"
1940;"Ньюхейвен/Великобритания в.ч./"
1939;"Вановален/Норвегия с.ч./"
1938;"Батерст/Канада в.ч.1/"
1937;"Дикили/Турция/"
1936;"Нурлинанген/Норвегия с.ч./"
1935;"Чжаньцзян/Китай (КНР)/"
1934;"Фоли/Великобритания в.ч./"
1933;"Пор-Жером/Франция/"
1932;"Котор/Югославия/"
1931;"Эверетт/США з.ч./"
1930;"Илоило/Филиппины/"
1929;"Вопнафиордур/Исландия/"
1928;"Шиппеган/Канада в.ч.1/"
1927;"Хасвик/Норвегия с.ч./"
1926;"Сен-Дени (Реюньон о.)/Фр.вл.в Инд.океане/"
1925;"Сан-Антонио/Аргентина/"
1924;"Понта-Делгада (Азоры)/Португалия/"
1923;"Палембанг/Индонезия/"
1922;"Мельбу/Норвегия с.ч./"
1921;"Молей/Норвегия ю.ч./"
1920;"Халид (Шарджа)/ОАЭ/"
1919;"Клаксвик/Дания/"
1918;"Дигби/Канада в.ч.1/"
1917;"Вадсе/Норвегия с.ч./"
